story_id,epic,title,user_story,business_value,acceptance_criteria,dependencies,priority,notes
US-01,Access and Verification,Verify customer identity before portal access,"As a delinquent customer, I want to verify my identity before viewing account details, so that my information is protected.",Prevents unauthorised access,"Account details are hidden before successful verification; failed verification shows a support route; outcome is recorded.",None,P1,Example starter story
US-02,Access and Verification,Show support route after failed verification,"As a customer who cannot complete verification, I want a clear support path, so that I know how to continue.",Reduces abandonment and confusion,"Support guidance appears after failed verification; account details remain hidden; support request can be logged.",US-01,P1,
US-03,Account Visibility,Display overdue account summary,"As a verified customer, I want to see my overdue balance and account status, so that I understand what action is needed.",Enables self-service action selection,"Overdue amount and status are shown; data reflects latest available source; fallback message appears if data is unavailable.",US-01,P1,
US-04,Account Visibility,Show eligible next actions,"As a customer, I want to see only actions I can take, so that I am not confused by unavailable options.",Improves flow clarity,"Displayed actions follow eligibility rules; unavailable actions are hidden or explained; next step choices are recorded if needed.",US-03,P1,
US-05,Payment Journey,Capture promise to pay,"As a customer, I want to submit a payment date and amount, so that I can confirm my intent without calling an agent.",Reduces manual handling and improves commitment capture,"Required fields are validated; confirmation is shown; promise details are stored for reporting and agent visibility.",US-03|US-04,P1,
US-06,Payment Journey,Check payment-plan eligibility,"As the system, I want to check whether an account is eligible for self-serve plan setup, so that unsupported cases are routed correctly.",Prevents unsuitable self-service journeys,"Eligibility rules run before plan options are shown; ineligible cases route to support; decision is recorded.",US-03|US-04,P1,
US-07,Payment Journey,Show available payment-plan options,"As an eligible customer, I want to review available plan options, so that I can choose a manageable repayment path.",Supports self-service resolution,"Only eligible options are shown; each option includes amount and frequency; customer can choose one option.",US-06,P1,
US-08,Routing and Exceptions,Route unsupported cases to agent queue,"As the operations team, we want unsupported cases routed with context, so that customers do not fall between channels.",Protects operational continuity,"Routing reason is captured; portal actions are attached to the case; correct queue is selected.",US-02|US-06,P1,
US-09,Reporting and Audit,Show portal interaction history to agents,"As an agent, I want to see what the customer did in the portal, so that I do not repeat work.",Supports adoption and faster handling,"Interaction history includes attempted actions and timestamps; routed cases show recent customer activity; data is readable when the case opens.",US-08,P1,
US-10,Reporting and Audit,Capture self-serve completion and abandonment metrics,"As an operations manager, I want to track completions and drop-off, so that I can measure portal impact.",Enables benefit tracking,"Metrics distinguish completed, abandoned, and routed journeys; journey type is visible; measures can be reviewed post-launch.",US-05|US-07|US-08,P2,
US-11,Reporting and Audit,Record audit trail for key customer actions,"As a compliance stakeholder, I want a timestamped record of customer actions, so that the bank can evidence what happened.",Supports control and governance,"Key actions are timestamped; case reference is stored; audit record supports retrieval.",US-01|US-05|US-07,P1,
US-12,Messaging,Display plain-language unsupported outcome messaging,"As a customer, I want clear messaging when I cannot complete a journey online, so that I understand what happens next.",Reduces frustration and abandonment,"Unsupported message explains next step; wording avoids blame; support route is visible.",US-08,P2,
US-13,Reporting and Audit,Measure workload shift after launch,"As the Head of Operations, I want baseline and post-launch workload measures, so that I can confirm whether admin effort has reduced.",Supports executive confidence,"Baseline and target measures are defined; reporting source is agreed; result can be reviewed after rollout.",US-10,P2,
US-14,Payment Journey,Confirm selected payment plan,"As a customer, I want confirmation of my selected plan, so that I know what I agreed to.",Improves completion confidence,"Confirmation includes plan summary and next steps; selected option is stored; outcome is available for agent visibility.",US-07,P2,
US-15,Non-functional,Define failure-safe handling for critical portal steps,"As the delivery team, we want key error states defined, so that journeys fail safely and predictably.",Improves resilience and trust,"Failure states are documented for unavailable data and interrupted steps; fallback path exists for critical journeys; user messaging is defined.",US-01|US-03|US-06,P2,
